Id,Name,Shape Library,Page ID,Contained By,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1,Text Area 2
1,Page,,,,,,,,Page 1,
2,Activation,UML,1,,,,,,,
3,Object,UML,1,,,,,,RFID Kartica,
4,Activation,UML,1,,,,,,,
5,Object,UML,1,,,,,,Čitač RFID kartica,
6,Object,UML,1,,,,,,Čvor,
7,Deletion,UML,1,,,,,,,
8,Activation,UML,1,,,,,,,
9,Activation,UML,1,,,,,,,
10,Activation,UML,1,,,,,,,
11,Activation,UML,1,,,,,,,
12,Activation,UML,1,,,,,,,
13,Text,Default,1,,,,,,Copy of Basic Sequence Diagram,
14,Text,Default,1,,,,,,"kresimir.ostovic    |   June 12, 2018",
15,Object,UML,1,,,,,,Čvor,
16,Activation,UML,1,,,,,,,
17,Activation,UML,1,,,,,,,
18,Line,,1,,3,7,None,None,,
19,Line,,1,,5,,None,None,,
20,Line,,1,,4,8,None,Arrow,PošaljiInformacijeNaČitač(),
21,Line,,1,,8,9,None,Arrow,PrimiInformacijeRFID(),
22,Line,,1,,6,,None,None,,
23,Line,,1,,10,11,None,Arrow,PošaljiTXNaČvor(),
24,Line,,1,,,,None,None,,
25,Line,,1,,11,22,None,Arrow,OdrediSmijeLiUći(),
26,Line,,1,,12,22,None,Arrow,[DovoljanBrojTransakcijaZaNoviBlok] PocniKreiratiNoviBlok(),
27,Line,,1,,15,,None,None,,
28,Line,,1,,11,16,None,Open Arrow,ProslijediTX(),
29,Line,,1,,16,27,None,Arrow,OdrediSmijeLiUći(),
30,Line,,1,,2,27,None,Arrow,[DovoljanBrojTransakcijaZaNoviBlok] PocniKreiratiNoviBlok(),
31,Line,,1,,17,27,None,Arrow,[NoviBokKreiran] ProslijediNoviBlok(),
32,Line,,1,,17,10,None,Arrow,JaviDopuštenostUlaza(),
