Id,Name,Shape Library,Page ID,Contained By,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,Network Diagram
2,Router,Cisco Network Icons,1,,,,,,Router
3,File Server,Cisco Network Icons,1,,,,,,Čvor2
4,Text,Default,1,,,,,,NEtwork diagram
5,Text,Default,1,,,,,,"ostacro    |   June 12, 2018"
6,Standing Man,Cisco Network Icons,1,,,,,,
7,Generic Building,Cisco Network Icons,1,,,,,,FER
8,Memory Card Reader,Tech Clipart,1,,,,,,GLavni Ulaz FER
9,Cloud,Cisco Network Icons,1,,,,,,The Internet
10,File Server,Cisco Network Icons,1,,,,,,Čvor1
11,Memory Card Reader,Tech Clipart,1,,,,,,Glavni Ulaz FFZG
12,Router,Cisco Network Icons,1,,,,,,Router
13,File Server,Cisco Network Icons,1,,,,,,Čvor4
14,Generic Building,Cisco Network Icons,1,,,,,,FFZG
15,File Server,Cisco Network Icons,1,,,,,,Čvor3
16,Router,Cisco Network Icons,1,,,,,,Router
17,Cloud,Cisco Network Icons,1,,,,,,The Internet
18,Generic Building,Cisco Network Icons,1,,,,,,FSB
19,File Server,Cisco Network Icons,1,,,,,,Čvor5
20,File Server,Cisco Network Icons,1,,,,,,Čvor6
21,Memory Card Reader,Tech Clipart,1,,,,,,Sporedni Ulaz FER
22,Line,,1,,,,None,None,
23,Line,,1,,7,8,Arrow,Arrow,
24,Line,,1,,9,8,Arrow,None,
25,Line,,1,,9,7,Arrow,Arrow,
26,Line,,1,,2,10,None,None,
27,Line,,1,,2,3,None,None,
28,Line,,1,,9,2,None,None,
29,Line,,1,,14,,Arrow,Arrow,
30,Line,,1,,17,14,Arrow,Arrow,
31,Line,,1,,12,15,None,None,
32,Line,,1,,12,13,None,None,
33,Line,,1,,,12,None,None,
34,Line,,1,,17,,Arrow,None,
35,Line,,1,,17,16,None,None,
36,Line,,1,,,18,None,None,
37,Line,,1,,19,18,None,None,
38,Line,,1,,20,18,None,None,
39,Line,,1,,17,18,None,None,
40,Line,,1,,17,,None,None,
41,Line,,1,,,36,None,None,
42,Line,,1,,21,24,None,None,
43,Line,,1,,21,7,None,None,
